,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
144,,,GREATER KAILASH JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
145,,,"TALAB TILOO, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
146,,,JAMMU BAHU PLAZA,,,,,,,,,,,,,,,,,,,,,,,,
147,,,JAMMU - TRANSPORT NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
148,,,GANDHI NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
149,,,GURUNANAK NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
150,,,"G S MARG, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
151,,,CHWADI,,,,,,,,,,,,,,,,,,,,,,,,
152,,,CHAK POUNI WAND,,,,,,,,,,,,,,,,,,,,,,,,
153,,,GADIGARH,,,,,,,,,,,,,,,,,,,,,,,,
154,,,SUNJWAN,,,,,,,,,,,,,,,,,,,,,,,,
155,,,DHARMAL,,,,,,,,,,,,,,,,,,,,,,,,
156,,,PHALORA NAGBANI,,,,,,,,,,,,,,,,,,,,,,,,
157,,,JAMMU PANJTIRTHI CHOWK,,,,,,,,,,,,,,,,,,,,,,,,
158,,,GANDHINAGAR- BRANCH,,,,,,,,,,,,,,,,,,,,,,,,
159,,,JAMMU SIDHRA,,,,,,,,,,,,,,,,,,,,,,,,
160,,,JAMMU BAKSHINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
161,,,JAMMU GREATER KAILASH,,,,,,,,,,,,,,,,,,,,,,,,
162,,,JAMMU SATWARI,,,,,,,,,,,,,,,,,,,,,,,,
163,,,JAMMU R O,,,,,,,,,,,,,,,,,,,,,,,,
164,,,"TALAB TILLO, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
165,,,NEW SUBZIMANDI JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
166,,,"GREATER KAILASH, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
167,,,JAMMU KUNJWAN,,,,,,,,,,,,,,,,,,,,,,,,
168,,,JAMMU - JAMMU AND KASHMIR,,,,,,,,,,,,,,,,,,,,,,,,
169,,,JAMMU - GUMAT,,,,,,,,,,,,,,,,,,,,,,,,
170,,,JANIPUR - JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
171,,,BADI BRAHMNA - JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
172,,,"NARWAL, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
173,,,RESIDENCY ROAD - JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
174,,,REHARI - JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
175,,,CHWADI,,,,,,,,,,,,,,,,,,,,,,,,
176,,,PATHWAL,,,,,,,,,,,,,,,,,,,,,,,,
177,,,NARWAL BACKOFFICE AND TRAINING CENTER,,,,,,,,,,,,,,,,,,,,,,,,
178,,,KACHI CHAWNI,,,,,,,,,,,,,,,,,,,,,,,,
179,,,GOLE MARKET GANDHI NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
180,,,JAMMU - RESIDENCY ROAD,,,,,,,,,,,,,,,,,,,,,,,,
181,,,"KATRA, JAMMU & KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,
182,,,SATWARI CHOWK JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
183,,,CHAK KANA,,,,,,,,,,,,,,,,,,,,,,,,
184,,,ZONAL OFFICE JAMMU CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,
185,,,DURGA NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
186,,,"G.G.M.SCIENCE COLLEGE JAMMU, CLUSTER UNIVERSITY JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
187,,,NARDANI RAIPUR,,,,,,,,,,,,,,,,,,,,,,,,
188,,,RANI TALAB,,,,,,,,,,,,,,,,,,,,,,,,
189,,,ROOP NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
190,,,SAINIK COLONY,,,,,,,,,,,,,,,,,,,,,,,,
191,,,RAIPUR SATWARI,,,,,,,,,,,,,,,,,,,,,,,,
192,,,MARBLE MARKET,,,,,,,,,,,,,,,,,,,,,,,,
193,,,J P CHOWK BRANCH,,,,,,,,,,,,,,,,,,,,,,,,
194,,,BARI BRAHMANA JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
195,,,RS PURA,,,,,,,,,,,,,,,,,,,,,,,,
196,,,JAMMU - JANIPUR,,,,,,,,,,,,,,,,,,,,,,,,
197,,,"JAMMU, JAMMU & KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,
198,,,"MOHALLA JANIPUR, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
199,,,"REHARI COLONY, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
200,,,KATRA BRANCH,,,,,,,,,,,,,,,,,,,,,,,,
201,,,UDHAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
202,,,MARH,,,,,,,,,,,,,,,,,,,,,,,,
203,,,KHOUR,,,,,,,,,,,,,,,,,,,,,,,,
204,,,SBLC JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
205,,,KOT,,,,,,,,,,,,,,,,,,,,,,,,
206,,,BANTALAB,,,,,,,,,,,,,,,,,,,,,,,,
207,,,"R.S. PURA, DISTT JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
208,,,"R S PURA, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
209,,,JAMMU EXCHANGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,
210,,,BABLIANA MAHANT BACHITAR SINGH COLL. ENG.,,,,,,,,,,,,,,,,,,,,,,,,
211,,,SME JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
212,,,TRIKUTA NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
213,,,RBO II JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
214,,,RBO V JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
215,,,"SBIINTOUCH HUDCO BHAWAN,JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
216,,,SAINIK COLONY JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
