,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
656,,,PADAM ZANASKAR,,,,,,,,,,,,,,,,,,,,,,,,
657,,,SANKOO,,,,,,,,,,,,,,,,,,,,,,,,
658,,,SKALZANGLING,,,,,,,,,,,,,,,,,,,,,,,,
659,,,SAMOOR,,,,,,,,,,,,,,,,,,,,,,,,
660,,,THIKSAY,,,,,,,,,,,,,,,,,,,,,,,,
661,,,CHUGLAMSAR  LEH,,,,,,,,,,,,,,,,,,,,,,,,
662,,,AJAS,,,,,,,,,,,,,,,,,,,,,,,,
663,,,BANDIPORA,,,,,,,,,,,,,,,,,,,,,,,,
664,,,T P BANDIPUR,,,,,,,,,,,,,,,,,,,,,,,,
665,,,SUMBAL,,,,,,,,,,,,,,,,,,,,,,,,
666,,,NAID KHAI,,,,,,,,,,,,,,,,,,,,,,,,
667,,,HAJIN,,,,,,,,,,,,,,,,,,,,,,,,
668,,,HARDU ABOORA,,,,,,,,,,,,,,,,,,,,,,,,
669,,,TANGMARG,,,,,,,,,,,,,,,,,,,,,,,,
670,,,SEELO,,,,,,,,,,,,,,,,,,,,,,,,
671,,,CHINKIPORA SOPORE,,,,,,,,,,,,,,,,,,,,,,,,
672,,,RCC SOPORE,,,,,,,,,,,,,,,,,,,,,,,,
673,,,NOWPORA KALAN,,,,,,,,,,,,,,,,,,,,,,,,
674,,,ACHABAL SOPORE,,,,,,,,,,,,,,,,,,,,,,,,
675,,,AGRO HI TECH SOPORE,,,,,,,,,,,,,,,,,,,,,,,,
676,,,MAIN BAZAR SOPORE,,,,,,,,,,,,,,,,,,,,,,,,
677,,,TARZUA,,,,,,,,,,,,,,,,,,,,,,,,
678,,,T P SOPORE,,,,,,,,,,,,,,,,,,,,,,,,
679,,,SINGHPORA PATTAN,,,,,,,,,,,,,,,,,,,,,,,,
680,,,SHERABAD,,,,,,,,,,,,,,,,,,,,,,,,
681,,,KREERI,,,,,,,,,,,,,,,,,,,,,,,,
682,,,ARRAH,,,,,,,,,,,,,,,,,,,,,,,,
683,,,NIHAMA,,,,,,,,,,,,,,,,,,,,,,,,
684,,,BAGATI KANIPORA,,,,,,,,,,,,,,,,,,,,,,,,
685,,,MOHAMMAD PORA,,,,,,,,,,,,,,,,,,,,,,,,
686,,,LOWER MUNDA,,,,,,,,,,,,,,,,,,,,,,,,
687,,,MIR BAZAR ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
688,,,MARHAMA,,,,,,,,,,,,,,,,,,,,,,,,
689,,,BIJBEHARA,,,,,,,,,,,,,,,,,,,,,,,,
690,,,NANIL,,,,,,,,,,,,,,,,,,,,,,,,
691,,,VESSU,,,,,,,,,,,,,,,,,,,,,,,,
692,,,KADDER,,,,,,,,,,,,,,,,,,,,,,,,
693,,,MANZGAM,,,,,,,,,,,,,,,,,,,,,,,,
694,,,BUGAM,,,,,,,,,,,,,,,,,,,,,,,,
695,,,PEHLOO,,,,,,,,,,,,,,,,,,,,,,,,
696,,,ACHABAL  ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
697,,,AKINGAM,,,,,,,,,,,,,,,,,,,,,,,,
698,,,"ANANT NAG, DISTT. ANANTNAG (JA",,,,,,,,,,,,,,,,,,,,,,,,
699,,,BUL BUL NOWGAM,,,,,,,,,,,,,,,,,,,,,,,,
700,,,T P KULGAM,,,,,,,,,,,,,,,,,,,,,,,,
701,,,CHATTERGUL,,,,,,,,,,,,,,,,,,,,,,,,
702,,,CHEENI CHOWK ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
703,,,KHEERIBAL,,,,,,,,,,,,,,,,,,,,,,,,
704,,,KHUDWANI,,,,,,,,,,,,,,,,,,,,,,,,
705,,,KOKERNAG,,,,,,,,,,,,,,,,,,,,,,,,
706,,,SADIQABAD,,,,,,,,,,,,,,,,,,,,,,,,
707,,,LARKIPORA,,,,,,,,,,,,,,,,,,,,,,,,
708,,,LARNOO,,,,,,,,,,,,,,,,,,,,,,,,
709,,,THE URBAN COOPERATIVE BANK LTD,,,,,,,,,,,,,,,,,,,,,,,,
710,,,RANIPORA,,,,,,,,,,,,,,,,,,,,,,,,
711,,,RCC ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
712,,,SAGAM,,,,,,,,,,,,,,,,,,,,,,,,
713,,,SALLAR,,,,,,,,,,,,,,,,,,,,,,,,
714,,,SHANGUS,,,,,,,,,,,,,,,,,,,,,,,,
715,,,SRIGUPHWARA,,,,,,,,,,,,,,,,,,,,,,,,
716,,,T P ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
717,,,ASHAJIPORA ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
718,,,NEW MARKET ANANTNAG,,,,,,,,,,,,,,,,,,,,,,,,
719,,,SILIGAM,,,,,,,,,,,,,,,,,,,,,,,,
720,,,ARAKHOSHIPORA,,,,,,,,,,,,,,,,,,,,,,,,
721,,,GUND,,,,,,,,,,,,,,,,,,,,,,,,
722,,,CHUNDUNA,,,,,,,,,,,,,,,,,,,,,,,,
723,,,LAAR,,,,,,,,,,,,,,,,,,,,,,,,
724,,,SAFAPORA,,,,,,,,,,,,,,,,,,,,,,,,
725,,,DUDERHAMA,,,,,,,,,,,,,,,,,,,,,,,,
726,,,CHADURA,,,,,,,,,,,,,,,,,,,,,,,,
727,,,PANTHA CHOWK SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
728,,,NATIPORA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
729,,,BALGARDEN SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
730,,,RAJBAGH,,,,,,,,,,,,,,,,,,,,,,,,
731,,,SKUAST SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
732,,,B B CANTT SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
733,,,"CHINAR SHOPPING COMPLEX, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
734,,,OLD SECRETARIAT SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
735,,,CHANNAPORA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
736,,,"RASMECCC-SARC, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
737,,,BOTSHAH MOHALLA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
738,,,HYDERPORA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
739,,,CHEST DISEASE HOSPITAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
740,,,SADAR COURT SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
741,,,BREIN NISHAT,,,,,,,,,,,,,,,,,,,,,,,,
742,,,LASJAN SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
743,,,KARAN NAGAR - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
744,,,BP BATMALOO,,,,,,,,,,,,,,,,,,,,,,,,
745,,,AIR CARGO SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
746,,,JAWAHAR NAGAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
747,,,RANGRETH SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
748,,,BADSHAH CHOWK,,,,,,,,,,,,,,,,,,,,,,,,
749,,,KARAN NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
750,,,BOULEVARD RD.,,,,,,,,,,,,,,,,,,,,,,,,
751,,,KHANYAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
752,,,NOWHATTA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
753,,,COMMON SERVICE CENTRE DEPTT.,,,,,,,,,,,,,,,,,,,,,,,,
754,,,AMIRA KADAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
755,,,APEX BRANCH,,,,,,,,,,,,,,,,,,,,,,,,
756,,,ARIZAL,,,,,,,,,,,,,,,,,,,,,,,,
757,,,"RCC, SRINAGAR",,,,,,,,,,,,,,,,,,,,,,,,
758,,,BAGH E MEHTAB SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
759,,,"SRINAGAR, BATMALOO",,,,,,,,,,,,,,,,,,,,,,,,
760,,,CHRAR I SHARIEF,,,,,,,,,,,,,,,,,,,,,,,,
761,,,ATM SWITCH DEPARTMENT CHQ,,,,,,,,,,,,,,,,,,,,,,,,
762,,,HARI SINGH  HIGH STREET SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
763,,,HABBA KADAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
764,,,BARZULLA CHOWK,,,,,,,,,,,,,,,,,,,,,,,,
765,,,IBR DEPARTMENT CHQ,,,,,,,,,,,,,,,,,,,,,,,,
766,,,INTERNATIONAL BANKING DIV SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
767,,,KREMSHORE,,,,,,,,,,,,,,,,,,,,,,,,
768,,,SSI LAL CHOWK SRINAGR,,,,,,,,,,,,,,,,,,,,,,,,
769,,,LAL MANDI SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
770,,,MAHARAJ GUNJ SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
771,,,MOVING SECRETARIAT,,,,,,,,,,,,,,,,,,,,,,,,
772,,,NAGAM,,,,,,,,,,,,,,,,,,,,,,,,
773,,,MAHARAJ GUNJ - SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
774,,,POLO VIEW SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
775,,,RAITHAN,,,,,,,,,,,,,,,,,,,,,,,,
776,,,RAJOURI KADAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
777,,,SAFA KADAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
778,,,NEW SECTT ROAD SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
779,,,SONWAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
780,,,"SRINAGAR BADAMI BAGH, DISTT. S",,,,,,,,,,,,,,,,,,,,,,,,
781,,,"SRINAGAR MAHARAJGANJ, DISTT. S",,,,,,,,,,,,,,,,,,,,,,,,
782,,,APEX BRANCH CHQ,,,,,,,,,,,,,,,,,,,,,,,,
783,,,BAZAR BATMALOO,,,,,,,,,,,,,,,,,,,,,,,,
784,,,ALAMGIRI BAZAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
785,,,BONE & JOINT HOSPITAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
786,,,ISLAMIA COLLEGE SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
787,,,JEHANGIR CHOWK (NABERA COMPLEX),,,,,,,,,,,,,,,,,,,,,,,,
788,,,JVMC SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
789,,,LD HOSPITAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
790,,,NAWA KADAL SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
791,,,RAWALPORA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
792,,,ZOONIMAR SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
793,,,DALGATE SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
794,,,RESIDENCY  ROAD SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
795,,,BEMINA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
796,,,BAGH ALI MARDAN SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
797,,,REC SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
798,,,SOURA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
799,,,LASSIPORA,,,,,,,,,,,,,,,,,,,,,,,,
800,,,KHUMANI CHOWK,,,,,,,,,,,,,,,,,,,,,,,,
801,,,HIGH COURT COMPLEX SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
802,,,KHAYAM CHOWK SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
803,,,PARIMPORA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
804,,,RCC SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
805,,,TANKIPORA SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
806,,,ZAINAKOTE SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
807,,,TATTOO GROUND SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
808,,,NOORBAGH SRINAGAR,,,,,,,,,,,,,,,,,,,,,,,,
809,,,OMPORA,,,,,,,,,,,,,,,,,,,,,,,,
810,,,GURSAHI,,,,,,,,,,,,,,,,,,,,,,,,
811,,,LASSANA,,,,,,,,,,,,,,,,,,,,,,,,
812,,,MANDI,,,,,,,,,,,,,,,,,,,,,,,,
813,,,POONCH CITY,,,,,,,,,,,,,,,,,,,,,,,,
814,,,MACHHEDI,,,,,,,,,,,,,,,,,,,,,,,,
815,,,PHINTER,,,,,,,,,,,,,,,,,,,,,,,,
816,,,RAMKOT,,,,,,,,,,,,,,,,,,,,,,,,
817,,,BILLAWAR,,,,,,,,,,,,,,,,,,,,,,,,
818,,,JANU,,,,,,,,,,,,,,,,,,,,,,,,
819,,,LAKHANPUR,,,,,,,,,,,,,,,,,,,,,,,,
820,,,"KARROH (LAKHANPUR), DISTT. KAT",,,,,,,,,,,,,,,,,,,,,,,,
